SerialNumber,PartNumber,ReceiverLine,ReceiverStation,AcquisitionDuration,SegmentCount,CSACLolCount,MinutesTillFirstCSACLol,StartPhaseMeasurementNS,AcqStartTimeDTUTC,FirstCSACLolDTUTC,LastCSACLolDTUTC,AcqEndTimeDTUTC,EndPhaseMeasurementNS,CSACAlarmCount,NumberOfLogRecords,AvgHeaterPower,MaxHeaterPower,BatteryChargeLevelInitial,BatteryChargeLevelFinal,BatteryDischargeRatePerHour,InitialHumidity,FinalHumidity,HumidityChange
446,280720001,1649,5490,d27 h05 m39 s24,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:38:13,1368326311000000000,0,3924,17.80098,18.07,100,9.666667,0.1381969,28.56825,31.56453,2.996281
7773,280720001,1649,5498,d27 h05 m39 s04,1,0,0,1365973147000000000,4/19/2023 20:58:49,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:37:53,1368326291000000000,0,3924,12.43279,12.64,100,21,0.1208596,21.93632,24.75377,2.817448
3804,280720001,1649,5506,d27 h05 m39 s13,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:38:01,1368326299000000000,0,3924,13.45426,13.74,98,11.66667,0.1320781,24.12072,26.57499,2.454266
1033,280720001,1649,5514,d27 h05 m43 s55,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:42:43,1368326581000000000,0,3924,13.4278,13.65,100,7,0.1422601,26.54168,29.26903,2.727346
3319,280720001,1649,5522,d27 h05 m38 s44,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:37:32,1368326270000000000,0,3924,11.26887,11.47,94.66666,15.33333,0.1213706,23.36532,25.73404,2.368717
6744,280720001,1649,5530,d27 h05 m25 s06,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:23:54,1368325452000000000,0,3924,9.714902,9.91,100,24.66667,0.1152911,26.27314,29.58369,3.310549
129,280720001,1649,5538,d27 h05 m25 s24,2,1,-21663.0666666667,1365973146000000000,4/19/2023 20:58:48,4/4/2023 19:55:44,4/4/2023 19:55:44,5/17/2023 2:24:12,1368325470000000000,0,3924,9.53555,9.76,73.33334,14.33333,0.09029369,27.23799,29.12325,1.885263
2929,280720001,1649,5546,d27 h03 m59 s08,1,0,0,1365978337000000000,4/19/2023 22:25:19,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:24:27,1368325485000000000,3912,3912,11.17284,11.38,100,19,0.1242359,21.488,22.13467,0.6466713
8619,280720001,1649,5554,d27 h05 m25 s59,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:24:47,1368325505000000000,0,3924,11.26575,11.52,100,24.66667,0.1152885,32.0098,38.72792,6.718121
2926,280720001,1649,5562,d27 h05 m26 s17,1,0,0,1365973146000000000,4/19/2023 20:58:48,1/1/0001 0:00:00,1/1/0001 0:00:00,5/17/2023 2:25:05,1368325523000000000,0,3924,9.954442,10.13,100,21.66667,0.1198787,31.62277,35.39095,3.768175
